,Repo,Contributor,Contributions
187,30949,brendanlim,15
1084,30949,sce,1
6301,30949,croaky,1
7059,30949,alekseyg,1
4104,30949,revgum,1
2879,30949,cowboyd,1
4328,103650,steveklabnik,28
3729,103650,wolfwood,355
247,103650,wilkie,356
1746,103650,roobie,1
6496,103650,LindseyB,8
6363,118130,shuyo,283
6978,118130,harph,1
4179,192904,twiecki,760
1358,192904,michaelosthege,188
3769,192904,ferrine,326
2927,192904,ColCarroll,219
602,192904,jsalvatier,717
1488,192904,apatil,335
5377,192904,bwengals,246
1588,192904,ricardoV94,272
6657,192904,junpenglao,228
5549,192904,aloctavodia,204
6446,211588,edtsech,18
2887,211588,batter,294
1517,211588,mikeraimondi,9
3972,211588,airblade,303
5178,211588,tlynam,10
2385,211588,aried3r,22
5396,211588,dwbutler,15
1974,211588,magni-,13
5533,211588,jaredbeck,1048
6506,211588,emmanuel,10
4615,228094,marshall,1498
252,228094,cb1kenobi,2104
5044,228094,billdawson,1823
2437,228094,nebrius,1165
1691,228094,sgtcoolguy,1788
1659,228094,hieupham007,1199
3520,228094,hansemannn,1460
5125,228094,sptramer,1209
5138,228094,donthorp,1394
5763,228094,vishalduggal,2030
3430,235448,allcontributors[bot],103
935,235448,amolenaar,4283
3591,235448,wrobell,770
1853,235448,dependabot[bot],319
1303,235448,adamboduch,70
2822,235448,pre-commit-ci[bot],56
3954,235448,PyGuy2,49
6056,235448,sourcery-ai[bot],21
1513,235448,TiemenSch,38
3327,235448,danyeaw,1857
2447,242821,markrickert,3
5726,242821,monkeydom,6
1824,242821,bbjay,8
4506,242821,omz,14
3630,242821,taberrr,3
6280,242821,DerAndereAndi,2
5374,242821,hirohitokato,8
163,242821,a2,2
6823,242821,timshadel,5
3271,242821,aporat,7
2007,265995,rajanchari,169
4791,265995,jackgerrits,941
6528,265995,bassmang,122
1919,265995,hal3,654
2099,265995,pmineiro,134
5052,265995,JohnLangford,2343
4448,265995,rajan-chari,113
5729,265995,eisber,888
4327,265995,lhoang29,599
613,265995,trufanov-nok,138
2383,274782,jakepetroules,193
1608,274782,uliwitness,76
5053,274782,zorgiepoo,1598
6992,274782,andymatuschak,440
2013,274782,belkadan,27
6122,274782,Bi11,25
2494,274782,danielpunkass,35
1203,274782,ksuther,37
1132,274782,kornelski,774
5780,274782,MaddTheSane,63
2521,339567,brocktimus,5
6561,339567,vanderhoorn,10
5081,339567,d-m-u,20
882,339567,hw676018683,9
6416,339567,kbrock,303
4992,339567,Fryguy,4
586,339567,adammck,4
3563,339567,stefankroes,55
6340,339567,StefanH,5
1526,339567,ledermann,8
2706,367233,carljm,270
2485,367233,auvipy,19
2897,367233,browniebroke,15
5647,367233,jarekwg,15
5592,367233,tony,18
749,367233,jezdez,41
2809,367233,romgar,22
1096,367233,treyhunner,103
4931,367233,hramezani,25
4031,367233,marfyl,28
2711,395561,djs55,70
5184,395561,yomimono,320
4780,395561,samoht,977
5488,395561,avsm,543
4318,395561,hannesm,422
6481,395561,nojb,31
2735,395561,yallop,64
2299,395561,dinosaure,140
5896,395561,talex5,47
4845,395561,Drup,305
1508,447784,arakis,158
2820,447784,SirBirne,9
1569,447784,kiootic,49
4686,447784,AnErrupTion,22
1991,447784,Kintaro,427
1180,447784,tea,18
4069,447784,grover,34
785,447784,charsleysa,325
907,447784,tgiphil,4872
2423,447784,robot9706,64
1492,521253,free-variation,4
5438,521253,delihiros,6
195,521253,hiredman,3
3166,521253,alexott,5
5452,521253,croeder,3
5420,521253,zaxtax,10
2378,521253,ruedigergad,4
2602,521253,daviddpark,4
2534,521253,dakrone,250
2714,521253,jimpil,3
2466,597879,aheckmann,2209
3997,597879,ebensing,150
291,597879,nw,138
2381,597879,lineus,128
6431,597879,bnoguchi,217
2886,597879,Uzlopak,202
5281,597879,rauchg,783
2462,597879,IslandRhythms,294
6743,597879,AbdelrahmanHafez,619
1592,597879,vkarpov15,9397
3351,658594,alexanderGugel,1
7044,658594,arlolra,1
4894,658594,countable,1
3415,658594,mjkaufer,1
3282,658594,fabianschwarzfritz,2
5582,658594,levicc00123,1
4842,658594,josher19,2
3531,658594,blakmatrix,1
161,658594,nickpoorman,2
208,658594,harthur,122
2919,842163,ElenaFagg,15
7196,842163,daron1337,59
7167,842163,ramtingh,12
5109,842163,lassoan,15
5092,842163,dladd,11
928,842163,kayarre,37
3410,842163,pieper,7
429,842163,jcfr,36
2191,842163,lantiga,516
2419,842163,rlizzo,373
283,849692,fritzt0,8
7049,849692,jhudsonWA,205
1267,849692,soffes,76
4172,849692,Coeur,171
6233,849692,adamyanalunas,9
5751,849692,randomsequence,4
4815,849692,StuClift,5
4890,849692,willson-chen,11
5825,849692,boherna,7
1220,849692,Davidde94,4
4464,894162,gwr,219
4308,894162,mtelka,257
4804,894162,richlowe,429
2094,894162,pfmooney,149
256,894162,tsoome,2198
4574,894162,citrus-it,277
4716,894162,ptribble,152
5001,894162,yuri-pv,227
6957,894162,ahrens,216
6538,894162,rmustacc,647
3867,907410,toddparker,1190
5095,907410,scottjehl,2031
6468,907410,agcolom,402
412,907410,arschmitz,549
5067,907410,jaspermdegroot,1981
1940,907410,gseguin,1069
5339,907410,apsdehal,220
6411,907410,Wilto,289
6875,907410,jblas,416
6412,907410,johnbender,1666
2109,931135,yohanboniface,208
308,931135,mourner,3666
6250,931135,danzel,301
6262,931135,perliedman,97
384,931135,johnd0e,69
6545,931135,ghybs,75
5230,931135,dependabot[bot],68
5858,931135,IvanSanchez,417
884,931135,cherniavskii,109
327,931135,jfirebaugh,116
4740,987572,mig-hub,10
5977,992467,gregmuellegger,122
2612,992467,dittaeva,1
5943,992467,igalarzab,3
1881,992467,prokaktus,2
4639,992467,Sinkler,2
4744,992467,mucca,3
4324,992467,alexandrevicenzi,1
4159,992467,wolfg1969,2
5003,992467,alanjds,1
1480,992467,ojomio,4
2527,994576,SteveBell,57
3793,994576,AlexanderWillner,48
378,994576,Carreau,3
1942,994576,listrophy,1
6717,994576,idf3d,5
2393,994576,Mento,808
2789,994576,corellian,2
2064,994576,idodeclare,8
1104,994576,tessus,1
4127,994576,lukele,37
1703,1049088,kintel,4082
6348,1049088,ChrisCoxArt,75
3098,1049088,RomitKumar,82
254,1049088,donbright,1072
3737,1049088,ochafik,130
4885,1049088,Sharma-Hrishabh,82
2892,1049088,MichaelPFrey,580
5262,1049088,nophead,116
1109,1049088,thehans,532
3557,1049088,t-paul,1703
1507,1049095,KeyWeeUsr,355
5198,1049095,akshayaurora,1389
1688,1049095,dessant,492
3981,1049095,Zen-CODE,1118
2084,1049095,geojeff,231
101,1049095,inclement,309
