,Repo,Contributor,Contributions
3453,53356,czlee,2
1350,53356,stefanor,3
625,53356,kylemcdonald,4
780,53356,bmc,91
2249,53356,brunokim,2
2217,53356,kmosiejczuk,1
1231,53356,data-raccoon,1
4333,53356,jackwilsdon,1
2739,53356,mdxs,1
4162,53356,Globegitter,2
4436,93412,jrbedard,3
2481,135598,deanm,51
998,193263,achalddave,2
2312,193263,vedaldi,1290
3908,193263,ahmedmagdiosman,2
86,193263,bfulkers,6
3136,193263,sarbohan,4
4550,193263,davnov134,1
3903,193263,sulc,24
3152,193263,dstoup,1
15,193263,lenck,31
2054,193263,pmoulon,5
1702,260841,lgvalle,9
1492,260841,danybony,55
3224,260841,dkaravias,31
4097,260841,gnorsilva,9
402,260841,blundell,11
3401,260841,hhaouat,10
4614,260841,akshaydashrath,10
4201,260841,frapontillo,52
870,260841,friedger,30
475,260841,sven-kroell,10
2487,483644,ahmedre,2050
1556,483644,ozbek,124
3693,483644,dependabot[bot],69
4589,483644,aabdurrahman,17
2350,483644,hakimrie,18
2520,483644,benomaire,27
795,483644,Korogba,24
3388,483644,afarra,49
2698,483644,wiryadev,124
2579,483644,hmaher,83
2247,612494,Globegitter,5
811,612494,marinaKollmitz,1
3638,612494,baldassarreFe,1
4025,612494,tdedecko,10
4024,711945,cagedmantis,4
4381,711945,AlgorithmsNYC,42
1188,711945,AntiTyping,8
188,711945,ebergerson,5
2211,711945,stuntgoat,6
1790,711945,samuel-aubin,8
853,711945,gevorghari,8
2573,711945,mselender,8
3334,711945,dcordes,1
1743,711945,fjania,1
4205,1104204,laurentluce,55
332,1104204,davidthewatson,1
2127,1147843,johannilsson,54
1696,1147843,RickardPettersson,2
1080,1147843,seansouthern,1
3132,1147843,denravonska,2
3774,1147843,ohhorob,6
3010,1147843,JakeWharton,4
2660,1147843,obra,6
3605,1147843,ggrell,1
3483,1147843,lvillani,3
10,1267008,chipironcin,8
3063,1267008,stephanemagnenat,209
2864,1267008,samlcharreyron,38
3264,1267008,remod,2
335,1267008,HannesSommer,8
2707,1267008,nicolapiccinelli,2
1836,1267008,rdube,2
4522,1267008,kruesip,3
1186,1267008,pomerlef,126
3989,1267008,cedricpradalier,2
3417,1336015,Jason2Brownlee,206
2026,1364139,glombard,1
4032,1364139,grantland,57
1193,1364139,indrek-koue,1
2818,1493359,YuriDenison,1
2406,1493359,ahtotruu,4
208,1493359,kodejuice,1
4510,1493359,alterdego,1
2149,1493359,devanshdalal,3
4127,1493359,adamsol,1
3006,1493359,indy256,967
1101,1516778,jpx,1259
4583,1516778,JMLX42,5073
2094,1516778,warrenseine,1763
3596,1516778,AurelienFT,64
2878,1516778,Alioune05,8
1545,1516778,AdrienNeveu,26
1678,1516778,PixDay,27
2610,1516778,nicozet,56
4051,1516778,pierre-ed,1399
877,1516778,Jupotter,6
2381,1571777,harry-wood,8
1995,1589604,cags12,1
2932,1589604,harism,124
629,1589604,rukiman,5
1838,1614858,cloudwu,13
4035,1714530,hameno,1
2839,1714530,elijahsh,1
4623,1714530,pakerfeldt,77
946,1714530,iboyko,2
1398,1714530,orac,10
2431,1714530,mshoykher,1
90,1714530,nfrancois,1
3982,1714530,Voldemar123,2
1029,1714530,eric-taix,5
262,1714530,chripo,5
1560,1866914,hpique,41
3275,1866914,BraisGabin,1
3192,1866914,thunderrabbit,1
873,2185379,h4ck3rk3y,1
3338,2185379,bytefish,4
2728,2185379,tomhollingworth,1
443,2185379,Gloix,1
4490,2220460,sghr,69
3620,2238765,davidpiegza,126
4245,2361775,msya,2
3266,2361775,BugMaker,1
1509,2361775,danielgindi,1
2187,2361775,neoasket,1
3450,2361775,h6ah4i,5
1246,2361775,naveedmurtuza,4
928,2361775,ApmeM,118
204,2361775,zobnin,2
533,2361775,patelatharva,1
4116,2361775,michalrus,1
247,2424377,SMillerDev,1
1589,2424377,quan-nh,1
1250,2424377,bayandin,2
2544,2424377,omegaula,216
1583,2424377,sjvs,1
2576,2424377,dweiss,3703
153,2424377,dependabot[bot],7
94,2424377,stanislawosinski,2039
2257,2424377,chenrui333,1
12,2424377,davenorthcreek,1
4452,2567475,sgrenier,511
1048,2567475,rcmaniac25,34
253,2567475,seanpaultaylor,2293
348,2567475,kcunney,156
4220,2567475,reven86,38
1434,2567475,chrisculy,140
1502,2567475,ablake,267
1946,2567475,rgngl,39
851,2567475,bslack,79
2887,2567475,kariem2k,43
3871,2624543,rmtheis,115
2105,2914073,moxie0,10
3670,2914073,matthewmichihara,1
4176,2927004,kevinchai,1
4225,2927004,jgilfelt,65
3695,2927004,jon-adams,1
2444,2960489,NIKHILAVISHEK,1
2276,2960489,codepo8,11
799,2960489,sonumahajan,3
251,2960489,vin8bit,1
1039,3226784,mehdichaouch,1
3327,3226784,johnrees,1
680,3226784,joostn,12
3817,3253898,greggman,1186
3830,3253898,diska,25
3657,3253898,lolosssss,16
442,3253898,PrincessGod,79
2854,3253898,nikolas,9
2943,3253898,bbbbx,10
295,3253898,NikitaIT,8
1216,3253898,kolosov-sergey,47
118,3253898,vinci-mz,12
756,3253898,TroyTae,159
1711,3362065,jmoody,149
3861,3362065,TobiasRoikjer,532
2277,3362065,bootstraponline,16
98,3362065,jonasmaturana,555
242,3362065,JoeSSS,41
1906,3362065,rajdeepv,17
3237,3362065,krukow,108
2489,3362065,Julioevm,12
1357,3362065,john7doe,11
2029,3362065,leviwilson,11
1361,3413682,KoryNunn,1
436,3413682,grahambinns,1
1931,3413682,ljharb,119
232,3413682,isaacs,2
3565,3413682,Xotic750,1
2725,3413682,erikvold,1
2722,3413682,khirayama,1
1005,3413682,dougwilson,1
903,3413682,substack,34
1143,3413682,bloodyowl,1
1446,3484065,mrdoob,1
1211,3484065,unconed,15
4121,3558490,kedzie,1
1762,3558490,tenaciousRas,1
2845,3558490,kiranpradeep,1
854,3558490,jwoolston,106
3306,3558490,Davhed,3
3419,3558490,AndrewJo,2
2212,3558490,dbarkar,1
4164,3558490,jayschwa,10
3292,3558490,gormanb,1
2412,3558490,ToxicBakery,44
3380,3634827,samehkhamis,1
326,3695744,commonsguy,1038
3007,3695744,idoan,1
2267,3695744,mgouline,1
3877,3695744,id0Sch,1
2283,3821432,codebutler,13
3304,3821432,pkulak,1
884,3824442,romracer,1
3807,3824442,likunkun,1
275,3824442,arter97,1
3730,3824442,rovo89,132
3069,3824442,pylerSM,1
4147,3824442,jclehner,1
1063,3824442,Tungstwenty,9
1653,3854471,makc,10
2161,3854471,therabbitwindfall,2
627,3854471,LeonidGaev,22
291,3854471,avkviring,1
1552,3854471,fomkin,1
2030,3854471,Yaski,1
1134,3854471,idkravitz,2
1133,3854471,leonid-gaev,22
3746,3854471,pecheny,14
1040,3854471,ChrisDenham,7
1285,3888919,joewalnes,2
1121,3888919,buserror,1
277,3888919,bitdeli-chef,1
3465,3898978,jjz,57
4334,3965784,guomeizhou,62
2334,4012679,dannytiehui,16
2404,4054532,old21,5
9,4054532,xfl03,1
1417,4054532,supermamie,5
2323,4123380,azone,1
654,4123380,walkingp,18
3056,4235407,jstasiak,10
1200,4235407,foohyfooh,5
2957,4235407,bogdanteleaga,7
4083,4235407,ubald,2
2710,4235407,szabolcsdombi,44
3313,4235407,adamlwgriffiths,461
1476,4235407,amengede,2
1633,4235407,Korijn,7
4450,4235407,chrsbats,4
565,4235407,becheran,2
3492,4241340,sebkur,3
4189,4241340,pinglis,17
507,4241340,JayGhb,27
2855,4241340,PedaB,18
3360,4241340,hjanetzek,17
1841,4241340,tordanik,980
1075,4241340,jongleur1983,3
3983,4241340,dANW34V3R,73
2515,4241340,b4sti,111
1715,4241340,AdosRun,5
4272,4284721,likethisinstead,1
1387,4284721,parano,27
4013,4387088,fefe982,155
1826,4387088,jorgeml,17
2921,4387088,pedroabel,5
2500,4387088,pnemonic78,5
767,4387088,codinguser,1020
2485,4387088,Wicowyn,6
910,4387088,rivaldi8,252
4171,4387088,aint,163
2734,4387088,czan,7
1084,4387088,agalanin,8
1269,4745814,zerotri,1
605,4745814,fluxama,1
1979,4920182,xiaoningning,85
2702,5152285,nfuller,56
140,5152285,renovate[bot],29
3985,5152285,monkey-mas,24
4520,5152285,dave-r12,55
2889,5152285,JakeWharton,773
2499,5152285,swankjesse,2657
3844,5152285,amirlivneh,73
4317,5152285,oldergod,29
1675,5152285,Goooler,54
710,5152285,yschimke,571
49,5185037,Teaonly,59
2253,5193009,jewelzqiu,2
3828,5193009,harryxu,1
1875,5193009,qii,3125
4125,5222575,dependabot[bot],1
2664,5222575,KevinStern,14
1916,5394750,oschina,4
2150,5394750,openproject,1
3579,5394750,jxsmallmouse,21
906,5394750,seabornlee,3
2635,5444855,earthiverse,8
4120,5444855,navarr,5
113,5471639,gklyne,86
2108,5613209,Druxtr,1
3413,5613209,myst729,9
4633,5613209,heartbeatsfeeling,1
3147,5689414,wknechtel,2
1344,5728045,matheus-souza,2
4087,5728045,damson,1
3846,5728045,jhonvidal,1
3329,5728045,intrications,1
4526,5728045,444eee,1
105,5728045,ragunathjawahar,280
3521,5728045,alexfu,1
3129,5728045,andrew-locklair,1
1820,5728045,bitdeli-chef,1
2416,5728045,dimsuz,1
3489,5746658,cheerconi,1
3366,5746658,sth4nth,505
2235,5746658,weilinear,4
2627,5770334,toombsday,1
1124,5770334,mauris,1
