,Repo,Contributor,Contributions
7871,12773,jfields,2
9058,12773,erebor,3
6735,12773,zukunftsalick,6
6343,12773,rab,4
3401,12773,mattetti,62
741,12773,cgriego,2
2489,12773,jakehow,3
6126,12773,kathgironpe,2
6344,12773,betelgeuse,2
8416,12773,aderyabin,23
6192,36502,rscharfe,1061
1665,36502,newren,898
2006,36502,spearce,1401
137,36502,mhagger,954
4065,36502,peff,3775
8605,36502,dscho,1990
780,36502,avar,1484
1126,36502,torvalds,1117
6679,36502,gitster,23658
2295,36502,pclouds,1824
5755,58859,pkufranky,1
9021,58859,drewdeponte,1
7977,58859,dinoboff,6
1594,58859,Elemecca,2
8280,58859,tv42,108
7525,58859,angavrilov,6
6160,58859,up_the_irons,1
8168,58859,gdelfino,2
4998,81742,pieter,2
7154,81742,djalmaoliveira,2
1742,81742,paulp,1
6325,81742,tjkirch,3
4827,81742,charlieok,7
8908,81742,hartwork,2
2267,81742,schacon,58
650,81742,dougbarth,1
4944,81742,sit,1
6485,82999,iauns,1
555,82999,alexandervoronov,1
6875,82999,twinshadow,1
7116,82999,Erlandys,2
3176,82999,TheMadButcher,8
7551,82999,gcamp,2
692,82999,valeriyvan,2
6275,82999,Rapptz,6
723,82999,seanmiddleditch,10
3699,82999,hjiang,42
8646,126574,bloopletech,149
8867,140656,jonas,2028
3015,140656,koutcher,164
1125,140656,rolandwalker,129
6073,140656,kumanna,9
3,140656,vivien,28
7083,140656,krobelus,22
6903,140656,peff,20
6552,140656,swegener,23
3618,140656,tsibley,19
2940,140656,SamB,9
2477,151541,etal,559
2036,151541,bow,730
5278,151541,bendmorris,141
5059,151541,brandoninvergo,108
6332,151541,mdehoon,652
7018,151541,zruan,106
7865,151541,carlosp420,119
4776,151541,cbrueffer,168
5452,151541,peterjc,7413
3043,151541,svalqui,168
1327,167174,jzaefferer,336
5637,167174,markelog,269
8228,167174,jeresig,1714
8907,167174,gibson042,278
8409,167174,flesler,200
1433,167174,rwaldron,315
3728,167174,mgol,413
2839,167174,brandonaaron,250
9065,167174,dmethvin,587
1572,167174,timmywil,700
8129,183362,Mephistophiles,9
2057,183362,coreyfarrell,33
6759,183362,seanmiddleditch,39
6257,183362,JoakimSoderberg,25
8126,183362,isaachier,11
4603,183362,npmccallum,7
2954,183362,AllenX2018,17
8101,183362,jjchoy,7
532,183362,akheron,728
1460,183362,cmeister2,8
2185,191265,ross,4
6427,191265,dmkoch,31
4627,191265,l0kix2,6
8475,191265,pelme,4
9024,191265,yannik-ammann,3
2420,191265,paltman,9
4298,191265,bradjasper,158
4684,191265,dmr,3
8965,191265,rpkilby,97
4700,191265,admackin,4
6506,228094,sptramer,1209
3055,228094,nebrius,1165
349,228094,cb1kenobi,2104
5829,228094,marshall,1498
4497,228094,hansemannn,1460
2108,228094,sgtcoolguy,1788
7277,228094,vishalduggal,2030
6414,228094,billdawson,1823
6527,228094,donthorp,1394
2064,228094,hieupham007,1199
4138,252774,spraints,665
3566,252774,boogisha,22
6853,252774,gburgett,20
4027,252774,davidalpert,29
5064,252774,kgybels,26
1947,252774,sc68cal,110
98,252774,KindDragon,51
8982,252774,ivan-danilov,66
6223,252774,pmiossec,864
4779,252774,siprbaum,85
4561,254092,agriffis,57
1352,254092,blueyed,3
8356,254092,proteansec,2
1395,254092,vapier,4
4537,254092,pvital,2
138,254092,danielrobbins,106
4750,254092,Dhertz,2
8426,254092,fawaf,3
7969,254092,mathstuf,4
133,254092,paparomeo,2
1532,286061,milki,5
2873,286061,kaos,1
5347,286061,dnozay,1
7701,286061,sitaramc,544
2993,286061,fanf2,4
3600,286061,tianon,1
854,286061,jm-duke,2
126,286061,robbat2,6
9053,286061,jhg03a,2
3590,286061,hemmecke,2
4413,287024,BurdetteLamar,12
4018,287024,nobu,46
925,287024,mernen,10
4552,287024,nurse,15
5909,287024,flori,530
1109,287024,marcandre,10
5951,287024,headius,14
3677,287024,zzak,13
6741,287024,hsbt,129
7003,287024,mrkn,18
8649,291570,raupachz,3
951,291570,bmarwell,91
6184,291570,mattbishop,3
4737,291570,ankon,10
9078,291570,khmarbaise,7
2279,291570,fpapon,246
9064,291570,kaosko,110
7124,291570,coheigea,44
1107,291570,jbonofre,5
1476,291570,bdemers,179
7579,368192,conceptdev,212
7822,368192,olegoid,566
721,368192,migueldeicaza,95
1285,368192,rolfbjarne,57
6569,368192,KMullins-Xam,39
1219,368192,GouriKumari,146
6072,368192,spouliot,50
7456,368192,mykyta-bondarenko,125
7187,368192,ChrisBlackman,50
1509,368192,timeyoutakeit,141
5486,401025,defunkt,240
5465,401025,calavera,82
8909,401025,mislav,1550
2331,401025,pcorpet,22
2566,401025,eljobe,12
2872,401025,srafi1,17
4706,401025,darrenwee,14
5283,401025,sinisterstuf,10
738,401025,owenthereal,879
5552,401025,tgkokk,22
6496,412420,johnpaulett,52
2756,412420,jaraco,258
7419,412420,marcintustin,16
2891,412420,EelcoHoogendoorn,22
4398,412420,Theelx,40
755,412420,aldanor,16
6363,412420,parsons-kyle-89,9
4580,412420,davvid,599
5606,412420,meatballhat,8
6992,412420,hugovk,8
1885,469664,ladyada,117
390,469664,davidk,2
8366,481366,bstpierre,2
8485,481366,nvie,309
2733,481366,ejholmes,3
3933,481366,vedang,6
4493,481366,mykehsd,2
8175,481366,kiall,2
8290,481366,jeromebaum,2
114,481366,Zoramite,6
1080,481366,jptoto,2
4386,481366,hollow,17
877,484788,shirriff,19
7877,484788,csBlueChip,32
3632,484788,MCUdude,10
2260,484788,z3t0,154
7091,484788,chaeplin,10
464,484788,joshuajnoble,11
6784,484788,ivankravets,9
478,484788,marcmerlin,11
460,484788,AnalysIR,17
5223,484788,bengtmartensson,12
1970,495089,eliotsykes,7
4133,495089,tancnle,16
6040,495089,developit,11
1926,495089,johnmichel,114
2217,495089,andrewbredow,84
4112,495089,summercms,3
153,495089,rviscomi,5
7096,495089,housseindjirdeh,81
3501,495089,jimmont,6
419,495089,twistedpair,8
7057,507334,yongsungyoon,3
1174,507334,ewypych,10
8929,507334,kazu-yamamoto,7
2173,507334,goliveira,3
7231,507334,lethee,7
6276,507334,michel-lefranc,7
1121,507334,idealhack,3
5744,507334,anishkny,2
6132,507334,MarkLodato,164
6660,507334,PeterDaveHello,3
8946,541109,mp3butcher,55
1292,541109,flashk,20
6926,541109,rhabacker,19
6399,541109,robertosfield,14639
4723,541109,tomhog,30
5019,541109,openscenegraph,48
5021,541109,andesengineering,349
7590,541109,filnet,19
6226,541109,juval,34
651,541109,LaurensVoerman,89
2415,555374,ferventcoder,13
5702,555374,cmarcusreid,23
7643,555374,dahlbyk,681
5259,555374,bergmeister,13
6661,555374,rkeithhill,375
6602,555374,seamlessintegrations,25
2223,555374,theaquamarine,36
3930,555374,JeremySkinner,9
2253,555374,markembling,16
4259,555374,csc027,31
2880,560990,rhysd,1
5418,560990,strugee,1
4416,560990,diurnalist,1
3809,560990,umbrae,3
5397,560990,louismrose,1
3354,560990,gregglind,1
480,560990,reiz,1
1201,560990,fjakobs,1
2860,560990,lroggendorff,3
4675,560990,zaach,64
1481,566341,MidLifeXis,1
6977,566341,charsbar,181
4986,566341,arcanez,2
8679,566341,dams,2
9038,566341,briandfoy,4
7860,566341,makamaka,100
8435,566341,davidcantrelluk2,1
4048,566341,chorny,1
7553,566341,miyagawa,2
4796,566341,dsteinbrunner,1
4878,576201,looeee,697
2865,576201,greggman,636
7123,576201,WestLangley,1028
2676,576201,Mugen87,3976
3608,576201,gero3,503
8778,576201,bhouston,840
538,576201,mrdoob,17870
1814,576201,sunag,588
5167,576201,alteredq,1753
1273,576201,takahirox,800
7670,679560,macek,32
3564,679560,mcepl,1
822,702886,robertd,5
7919,702886,nvl,4
9019,702886,brntbeer,15
6017,702886,jeffreyguenther,4
8829,702886,randomecho,19
8509,702886,niels-bom-md,4
8621,702886,cyjake,17
7254,702886,matthewmccullough,36
1153,702886,bry4n,3
5697,702886,schacon,36
3833,718309,tonyarnold,9
5445,718309,stepanhruda,37
5997,718309,eraserhd,20
6404,718309,paulz,17
7149,718309,ecaselles,18
7178,718309,modocache,46
3272,718309,csky-ios,12
1797,718309,lukeredpath,73
5361,718309,allending,75
8851,718309,sharplet,98
3891,718963,rwz,233
3541,718963,sethvargo,3
6242,718963,grddev,4
8603,718963,guyboertje,5
7331,718963,Flameeyes,5
5351,718963,sferik,201
4381,718963,Overbryd,4
6213,718963,joshk,41
1012,718963,arsduo,5
492,718963,josh,4
6139,738491,onebit,93
2046,738491,ppansy,87
1676,738491,tianqibt,176
6954,738491,KylinChang,191
6946,738491,samodom,363
3496,738491,jamestouri,134
5601,738491,dreamolight,149
2523,738491,clang13,122
481,738491,joesus,838
2157,738491,jawwad,562
7025,761723,bertpareyn,1516
1701,761723,stuartf,545
2011,761723,mrvisser,413
6900,761723,sathomas,373
2565,761723,brecke,101
8675,761723,jsloane,1240
3782,761723,christianvuerings,919
5338,761723,simong,320
4296,761723,croby,2013
5216,761723,soesoe,538
6744,800294,jparise,1
1002,800294,johnezang,63
4252,800294,atnan,1
4954,800294,soffes,2
1034,817345,jweslley,39
5592,817345,qw3rtman,24
5926,817345,hemanth,236
5340,817345,timfeirg,17
1915,817345,tj,248
7925,817345,tfendin,18
2423,817345,nickl-,17
6633,817345,spacewander,369
701,817345,nicolaiskogheim,57
7166,817345,Lee-W,27
262,822377,mckamey,565
8801,822377,garth,1
8151,822377,ivandrofly,1
1803,822377,aik-jahoda,1
514,822377,hhariri,1
6887,822377,Dynalon,1
5877,822377,jscheid,1
2160,822377,cail,2
2876,822377,crimsonred,4
6318,826769,nickdademo,1
4752,826769,tinaColemanNextCentury,2
4639,826769,elafargue,1
2862,826769,lasselukkari,2
401,826769,eggerdo,1
6502,826769,justjoheinz,3
2041,826769,sudar,4
5488,826769,interactive-matter,110
1883,826769,pasky,3
8315,826769,ivankravets,2
4940,830324,amullins83,19
8751,830324,w-michal,2
293,830324,sblakemore,2
8966,830324,thammer,3
9040,830324,jnm2,24
7814,830324,mjmatthiesen,3
4113,830324,mikeobrien,53
5428,830324,rvlieshout,2
3341,830324,bprescott,3
3873,830324,neilt6,2
5136,842159,joshsmith,5
5178,842159,jettcalleja,3
4046,842159,moshen,71
7040,842159,spatical,7
3579,842159,evnm,6
7976,842159,evansiroky,8
8642,842159,grobot,5
5145,842159,felix,4
8495,842159,fabriziomoscon,93
5184,842159,regality,8
5133,843222,ogrisel,2417
645,843222,larsmans,1265
6146,843222,pprett,860
5862,843222,jnothman,773
9045,843222,agramfort,1086
9007,843222,amueller,2073
5195,843222,vene,775
5942,843222,mblondel,778
6554,843222,thomasjpfan,676
7247,843222,glouppe,936
2768,850529,daniel-levin,1
6070,850529,jehiah,28
6914,850529,seenickcode,1
1253,850529,bryant1410,1
8822,850529,simonschmidt,1
398,884135,EmbeddedMan,2
7044,884135,zikolach,1
7046,884135,PaintYourDragon,1
4084,884135,ladyada,17
5621,884135,bitDealer,1
664,884135,tdicola,3
5085,900234,vfr,53
7985,919881,joshmarshall,62
2522,919881,rayrapetyan,1
2994,919881,domob1812,1
4974,919881,efokschaner,5
5310,919881,quentinmit,4
3638,919881,prs247au,6
7735,940538,arkon,353
1637,940538,dependabot-preview[bot],344
931,940538,WChrisK,261
8655,940538,jennac3,637
1117,940538,NelleV,402
3787,940538,mishaschwartz,1226
3445,940538,adisandro,603
9050,940538,david-yz-liu,1982
3692,940538,benjaminvialle,887
1437,940538,mikeconley,324
405,945181,alanpaxton,1
3974,945181,neilkachu,47
3097,947175,faassen,2
6965,947175,dvv,2
6573,947175,paazmaya,1
4173,947175,JamiesWhiteShirt,1
8927,947175,schorsch,1
7275,947175,CDanU,1
3220,947175,kriszyp,63
5788,947175,garycourt,14
7800,947175,laurie71,3
8057,947175,chapel,4
4526,991335,jdee,25
7870,991335,rlepinski,1989
333,991335,Ulrico972,18
5873,991335,mhooge,396
3308,991335,khmMouna,142
8762,991335,BrianBatchelder,309
8451,991335,marc-scig,1846
5677,991335,crow,672
4593,991335,oristanovic,112
5554,991335,hcrowell,119
10,1016685,FedericoCeratto,1
5160,1016685,arnout,3
203,1016685,gucci-on-fleek,2
4540,1016685,petterreinholdtsen,1
1322,1016685,pagekite,5
5887,1016685,lzap,1
3324,1016685,tanghus,1
5130,1016685,BjarniRunar,2
7420,1016685,SunilMohanAdapa,49
1898,1016685,Erkan-Yilmaz,1
8314,1062897,d2s,17
967,1062897,arcresu,334
251,1062897,thedaniel,17
82,1062897,bdougie,101
641,1062897,shiftkey,665
2595,1062897,jspahrsummers,30
2628,1062897,defunkt,102
6503,1062897,martinwoodward,18
7407,1062897,haacked,14
5247,1062897,aroben,123
6567,1092277,douglascrockford,39
6255,1110217,bastelfreak,19
7841,1110217,myronmarston,7
1466,1110217,apsoto,8
1074,1110217,mpalmer,11
3264,1110217,RST-J,79
3866,1110217,jlblcc,5
2935,1110217,hoxworth,253
8397,1110217,japgolly,10
3129,1110217,iainbeeston,171
426,1110217,pd,82
3679,1115738,bigsweater,1
2740,1115738,petskratt,1
2525,1115738,toszcze,2
6975,1115738,Jotschi,37
2503,1115738,scribu,657
2602,1115738,radeno,1
5072,1115738,duncanjbrown,1
4519,1115738,mattKendon,1
7260,1139119,dota17,49
156,1139119,TheCount,13
424,1139119,commodo,31
454,1139119,hawicz,704
7842,1139119,andy5995,25
6942,1139119,jamesmyatt,19
6434,1139119,sgerbino,12
3962,1139119,besser82,28
5352,1139119,stoeckmann,22
4891,1139119,sixlettervariables,11
7431,1153229,gstjohn,6
1874,1153229,dok,1
6368,1153229,rsanchez,66
375,1153229,stewartmckee,6
1674,1153229,domstubbs,7
4168,1153229,convexstyle,1
2077,1153229,GDmac,2
4788,1153229,Patrick64,1
8238,1153229,sjelfull,1
4969,1171324,alrra,15
1840,1171324,paulirish,12
2809,1171324,shichuan,170
8916,1171324,arthurvr,19
4484,1171324,mathiasbynens,5
8663,1171324,drublic,16
5124,1171324,necolas,31
2904,1171324,alexgibson,100
4835,1171324,romamatusevich,11
4567,1171324,jakearchibald,4
6899,1187853,johnjaylward,42
4295,1187853,ethauvin,4
3770,1187853,artem-smotrakov,5
896,1187853,migueltt,10
8972,1187853,Zetmas,13
7769,1187853,erosb,23
2505,1187853,run2000,8
8922,1187853,stleary,512
5865,1187853,fleipold,9
127,1187853,douglascrockford,55
1884,1219740,mihawk90,34
1767,1219740,github-actions[bot],1244
35,1219740,silverwind,4020
652,1219740,xt0rted,290
7442,1219740,un1versal,16
3918,1219740,dsoegijono,8
1827,1219740,sircapsalot,58
5126,1219740,the-j0k3r,728
7910,1219740,Mottie,1533
8241,1219740,aalvarado,6
7686,1235115,swissquote-nst,2
2313,1235115,nst,65
3610,1251502,schwa,258
5812,1251502,rayh,1
5344,1251502,ishaq,2
2594,1251502,sync,1
5461,1251502,joericioppo,1
548,1251502,tigerbears,2
3214,1251502,larrycao,1
2998,1251502,0xced,1
7671,1251502,mattjgalloway,1
8883,1251502,maafy6,1
2732,1252955,PaintYourDragon,10
6465,1252955,hoffmannjan,8
6247,1252955,driverblock,7
8957,1252955,evaherrada,1
2061,1252955,makermelissa,3
7129,1252955,ladyada,68
8036,1252955,siddacious,2
8429,1252955,tdicola,5
2402,1280180,bobtrahan,840
8083,1280180,relrod,85
1994,1280180,joshuaspence,439
4430,1280180,AnhNhan,81
6186,1280180,vrana,73
1436,1280180,chadlittle,1406
3160,1280180,hach-que,129
4791,1280180,avivey,69
7490,1280180,ljalonen,34
258,1280180,phacility-bot,92
607,1287669,mattbishop,4
4389,1287669,mgreenwood1001,17
4081,1287669,trajano,11
3241,1287669,richardstartin,6
4773,1287669,greek1979,4
3574,1287669,jochenberger,129
7009,1287669,Alanscut,7
1048,1287669,zline,24
5217,1287669,kallestenflo,476
3204,1287669,helsing,5
1173,1353110,QuentinVaut,1
1177,1353110,felixrabe,1
5736,1353110,fkuo,4
4283,1353110,inator,1
5146,1353110,pijewski,1
869,1353110,ainthek,1
1973,1353110,trentm,337
6440,1353110,antonmedv,1
2932,1353110,isaacs,2
6383,1353110,afanasy,1
