,Repo,Contributor,Contributions
2357,973074,meteficha,29
5258,973074,rblaze,8
4163,991376,Myztiq,1
1703,991376,ryanbraganza,1
601,991376,secretrobotron,133
4271,991376,jbuck,1
48,991376,steventsng,59
2718,991376,CloudScorpion,2
5276,991376,fossabot,1
5881,991376,kripken,1
1658,991376,cjcliffe,541
1698,991376,corbanbrook,63
4396,997620,doozan,1
292,997620,itkach,269
6760,997620,bittachi,1
5847,997620,marcelogp,2
7001,997620,ce-4,2
977,997620,sklart,1
178,997620,dliw,1
6835,1010501,tbuser,49
1111,1010501,martymcguire,3
1973,1010501,cbiffle,7
8380,1039875,amdoolittle,1
1899,1039875,aaronds,9
1631,1049088,donbright,1072
5269,1049088,ChrisCoxArt,75
5141,1049088,RomitKumar,82
2325,1049088,MichaelPFrey,580
5738,1049088,kintel,4082
2740,1049088,t-paul,1703
7691,1049088,thehans,532
1301,1049088,Sharma-Hrishabh,82
3461,1049088,nophead,116
6925,1049088,ochafik,130
870,1130129,maliMirkec,1
756,1130129,htor,1
1379,1130129,DrummerHead,1
4358,1130129,desandro,189
3253,1130129,Calvein,1
5020,1143292,franksmicro,13
233,1167860,dharmapurikar,10
1186,1176476,Quby,24
6758,1176476,DmitryBochkarev,1
5989,1176476,lxyd,7
6872,1176476,piranha,9
3765,1176476,JWo1F,2
3211,1176476,Maniulo,2
5222,1176476,theshock,565
2443,1176476,extempl,16
8817,1176476,DanilaMihailov,2
3332,1176476,devsli,1
8433,1186070,sivieri,1
1546,1186070,fuho,1
5356,1186070,karl-petter,1
3491,1186070,adamvr,3
1345,1186070,nfriedly,2
1680,1186070,kaidokert,1
8274,1212681,HashNuke,13
7070,1215215,Dinnerbone,392
6904,1215215,Cogito,21
1066,1215215,durron597,48
7687,1215215,amaranth,37
2786,1215215,grum,85
4579,1215215,CelticMinstrel,31
5353,1215215,feildmaster,69
8794,1215215,Wolvereness,119
5724,1215215,sk89q,96
6134,1215215,EvilSeph,184
7708,1234896,emidander,1
8273,1234896,ru-alxr,1
4071,1234896,letz,1
4374,1234896,EddieRingle,4
5080,1234896,keverets,1
5845,1234896,kidfolk,2
5343,1234896,loopj,1
4117,1234896,quiffman,1
6027,1234896,johannilsson,79
2081,1234896,chdorner,1
8791,1270073,nathanchantrell,1
4494,1270073,jkuchta,1
4872,1270073,darcoto,1
3019,1270073,nethoncho,5
8072,1288547,prabhuramachandran,641
155,1288547,itziakos,119
6812,1288547,tkoyama010,73
3329,1288547,amalss18,29
8391,1288547,larsoner,40
1734,1288547,stefanoborini,107
8447,1288547,dmsurti,215
1474,1288547,kitchoi,137
1748,1288547,rahulporuri,25
2710,1288547,GaelVaroquaux,53
2966,1318988,heatonjb,41
4326,1318988,ghostrocket,3
2947,1318988,cmlh,3
1202,1318988,benneic,3
7532,1318988,akumria,11
1888,1318988,jimmyho,4
1549,1318988,seajosh,4
3218,1318988,mgunneras,13
4729,1318988,michaelhelmick,9
4741,1318988,albertotretti,5
1918,1335711,amet,116
2756,1335711,elupus,397
4285,1335711,davilla,846
8506,1335711,opdenkamp,347
5676,1335711,CrystalP,234
2089,1335711,pieh,221
7331,1335711,Memphiz,486
3025,1335711,JezzX,279
6928,1335711,Montellese,572
6919,1335711,mkortstiege,943
8566,1415827,ek9,86
470,1415827,TomasVotruba,977
339,1415827,Andrewsville,347
1685,1415827,vlastavesely,68
2099,1415827,dg,50
677,1415827,kukulich,775
7664,1415827,jadb,76
1166,1415827,jankal,23
8022,1415827,milo,20
3123,1415827,POPSuL,21
6581,1431547,xordoquy,558
4150,1431547,markotibold,114
6995,1431547,carltongibson,105
8715,1431547,tomchristie,3787
6516,1431547,minddust,153
8709,1431547,jdufresne,43
3293,1431547,auvipy,92
6164,1431547,jpadilla,250
1534,1431547,rpkilby,132
6647,1431547,d0ugal,44
2810,1462287,msv68,5
5899,1462287,alexander-malyshev,1
6233,1462287,a-betenev,36
6844,1462287,tpaviot,6
1219,1462287,dpasukhi,28
4704,1462287,gkv311,197
7489,1462287,Bihlerben,2
3051,1462287,luzpaz,9
6094,1462287,xuzhongxingcas,1
6093,1462287,tizmaylo,3
6732,1482139,albaltas,1
2380,1482139,danieloneill,5
3796,1482139,lpmi-13,1
1381,1482139,ejeklint,18
3601,1482139,aphex,1
7100,1482139,bentech,3
8253,1498978,maniacbug,200
3368,1498978,gcopeland,12
5583,1579809,ndfred,1
3900,1579809,Ashton-W,3
7501,1579809,nicklockwood,155
5067,1579809,Jeehut,2
586,1579809,briananderson1222,2
441,1579809,alleus,2
5131,1579809,jakub-mirota,1
1595,1579809,ddwang,1
3711,1579809,danpizz,1
5041,1579809,synthemesc,1
102,1611530,brianpaul,23
7698,1611530,cworth-gh,84
5932,1611530,trtt,23
4053,1611530,gerddie,65
7852,1611530,ideak,23
5036,1611530,Joshua-Ashton,20
1843,1611530,zackr,243
3502,1611530,amonakov,27
814,1611530,jrfonseca,3777
1784,1611530,olvaffe,40
7255,1638524,Chaddai,1
7513,1638524,anayrat,3
3760,1638524,void-elf,10
6576,1638524,sgalal,31
4412,1638524,xiaohanyu,5
290,1638524,tony,1
1175,1638524,ryanguest,1
4467,1638524,joachimschmidt557,2
5358,1638524,csukuangfj,3
7409,1638524,liuxinyu95,1812
238,1651119,johnyb,2
7345,1651119,TheMiles,4
2305,1651119,matt-tyler,2
2639,1651119,jgoppert,41
1672,1651119,mikepurvis,2
4618,1651119,igormiktor,5
843,1651119,PIlin,3
4885,1651119,Kernald,2
4622,1651119,arunh,3
333,1651119,queezythegreat,207
6670,1726797,hroncok,91
1755,1726797,garyhodgson,41
1172,1726797,volconst,82
1744,1726797,D1plo1d,115
8704,1726797,chicagoduane,29
8419,1726797,iXce,1356
6942,1726797,k-eex,115
5912,1726797,DivingDuck,60
2730,1726797,rockstorm101,59
7634,1726797,kliment,594
886,1747625,johnmckerrell,3
1117,1747625,amcewen,12
8032,1763730,pedrocorreia,1
4147,1763730,mpint,1
1204,1763730,csnover,1
3233,1763730,jrburke,11
4049,1763730,prayagverma,1
2787,1908166,sulsadev,14
3295,1936302,AranVink,6
5147,1936302,dennisfrett,6
3354,1936302,PaulStoffregen,6
6676,1936302,sieren,12
5814,1936302,xxxajk,41
4560,1936302,ivankravets,10
7252,1936302,felis,10
7582,1936302,Lauszus,944
5202,1936302,YuuichiAkagawa,20
6684,1936302,dmadison,21
913,1981819,shintasmith,71
7607,1981819,mikenerone,10
5388,1981819,chadlung,396
7602,1981819,jennyvo,15
3468,1981819,shub6691,5
7522,1981819,AJStieren,18
5437,1981819,thrawn01,11
6151,1981819,omanand,4
