,Repo,Contributor,Contributions
326,682,technoweenie,6
8539,682,kch,1
6811,682,tobi,30
8655,682,jbarnette,2
6621,682,dhh,1
590,682,lukemelia,2
7826,682,brunograsselli,1
581,682,defunkt,4
3007,682,rares,7
7647,682,andersondias,2
4918,108110,milkie,1218
2700,108110,benety,2683
8198,108110,renctan,969
8721,108110,stbrody,1525
1192,108110,acmorrow,1153
2621,108110,kaloianm,1527
1830,108110,astaple,3060
2387,108110,dwight,4338
8245,108110,RedBeard0531,2405
8375,108110,erh,6809
7353,108278,schisamo,747
2065,108278,phiggins,331
7695,108278,adamhjk,1183
653,108278,chef-ci,1695
2234,108278,thommay,584
8382,108278,lamont-granquist,3705
2820,108278,tas50,5206
3292,108278,danielsdeleo,2798
3568,108278,btm,1099
5922,108278,jaym,743
7198,125893,lievn,7
2809,125893,techtonik,2
782,125893,YunLemon,1
5426,125893,michaelsproul,5
1526,125893,lucasnijs,29
2649,125893,tom-de-smedt,2
7438,125893,MariaPet,1
3795,125893,proles,5
3729,125893,stebanos,612
1639,125893,fdb,154
8531,138312,marcovtwout,10
2767,138312,miry,7
2972,138312,kirs,70
8521,138312,seenmyfate,160
616,138312,townsen,28
1870,138312,teohm,15
1844,138312,mattbrictson,288
4343,138312,will-in-wi,137
457,138312,andytinycat,8
2599,138312,leehambley,491
2043,143489,sanemat,10
1390,143489,JonRowe,85
1679,143489,skalee,9
3539,143489,svenfuchs,9
8574,143489,botandrose,223
1316,143489,snusnu,13
3298,143489,stanislaw,9
1697,143489,vrinek,18
5363,143489,etagwerker,188
6040,143489,bmabey,299
2316,150235,leejones,10
3697,150235,slamere,7
6281,150235,technicalpickles,178
2042,150235,kplawver,82
1013,150235,bryantraywick,91
8153,150235,wfarr,81
2446,150235,railsmachine-ops,22
5961,150235,ches,28
527,150235,jarinudom,9
7480,150235,jnewland,260
6543,189840,bhrutledge,1
4708,189840,bitprophet,1484
658,189840,acdha,2
7316,189840,RupeshPatro,3
1619,189840,dsch,1
223,189840,fruch,1
3880,189840,davidjmemmett,5
5390,189840,karlcow,2
285,189840,henryh9n,1
968,189840,omadjoudj,1
7292,219696,apinstein,26
286,219696,wfarr,6
1217,219696,technicalpickles,52
770,219696,mattscilipoti,1
7670,262827,isaiahdw,23
6370,262827,jheathco,15
5332,262827,Zeelot,13
7388,262827,bluehawk,22
5733,262827,enov,18
6564,262827,acoulton,16
