,name,stargazers_count,forks_count,subscribers_count,topics,language,created_at,updated_at
44259046,API,635,165,64,"['leaflet', 'leafletjs', 'weather', 'windguru']",JavaScript,2015-10-14T15:54:28Z,2022-04-06T05:55:40Z
54346799,public-apis,189253,21830,3507,"['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",Python,2016-03-20T23:49:42Z,2022-04-14T01:15:01Z
182489950,api,675,129,17,"['admin', 'auth', 'nest', 'nestjs', 'nodejs', 'saas', 'saas-startups', 'staart', 'starter-kit', 'stripe', 'typescript']",TypeScript,2019-04-21T04:35:19Z,2022-04-13T16:52:52Z
6885644,api,394,152,94,"['api', 'headhunter', 'headhunter-api', 'json', 'oauth2', 'rest']",,2012-11-27T15:24:57Z,2022-04-13T01:10:34Z
108446737,api,63,307,28,[],Go,2017-10-26T17:54:59Z,2022-04-04T14:32:40Z
100651222,api,899,85,12,[],Python,2017-08-17T22:49:30Z,2022-04-13T11:33:40Z
316184289,api,386,117,20,"['characters', 'genshin', 'genshin-impact', 'hacktoberfest', 'images', 'impact', 'mihoyo']",JavaScript,2020-11-26T09:38:42Z,2022-04-13T19:44:17Z
100769259,api,970,70,91,"['bnet', 'bungie', 'destiny', 'openapi-spec']",,2017-08-19T04:15:17Z,2022-04-13T20:35:01Z
14060127,api,358,104,27,"['movie', 'movie-database', 'movies', 'php-tmdb', 'psr-12', 'psr-17', 'psr-18', 'psr-3', 'psr-6', 'psr-7', 'tmdb', 'tmdb-api', 'tv']",PHP,2013-11-02T03:34:50Z,2022-04-06T11:39:24Z
7243126,API,125,167,39,[],PHP,2012-12-19T15:55:06Z,2022-04-11T08:29:56Z
23627382,api,184,128,27,['geocoding'],JavaScript,2014-09-03T16:06:04Z,2022-04-08T16:10:46Z
127672405,api,251,93,22,['lichess'],TypeScript,2018-04-01T21:24:19Z,2022-04-13T01:53:12Z
327873058,API,78,134,2,"['api', 'flask', 'flask-restful', 'postman', 'python']",Jupyter Notebook,2021-01-08T10:38:02Z,2022-03-13T12:01:22Z
169867736,api,121,110,9,"['apollo-server', 'apollo-server-express', 'express', 'graphql', 'javascript', 'jwt', 'mongodb', 'mongoose', 'nodejs', 'oreilly']",JavaScript,2019-02-09T13:04:53Z,2022-03-31T04:02:04Z
47655910,API,202,82,48,"['agile-board', 'api', 'kanban-board', 'zenhub']",,2015-12-08T23:28:55Z,2022-04-05T04:27:42Z
58159876,api,509,53,27,[],TypeScript,2016-05-05T20:51:29Z,2022-04-13T10:47:13Z
102723966,api,335,58,25,"['database', 'exploits', 'python', 'python-wrapper', 'scanner', 'vulnerability', 'vulnerability-detection', 'vulners-api']",Python,2017-09-07T10:27:06Z,2022-04-02T07:57:04Z
4372486,api,186,69,37,[],,2012-05-18T19:02:23Z,2022-03-10T20:40:48Z
109716868,api,103,88,14,"['api', 'api-rest', 'api-restfull', 'laravel', 'laravel-api', 'laravel-framework', 'laravel55', 'postman']",PHP,2017-11-06T15:57:48Z,2022-04-08T06:31:57Z
111382889,api,43,125,30,[],API Blueprint,2017-11-20T08:33:12Z,2022-02-08T09:53:38Z
