,Repo,Contributor,Contributions
3844,507,paulwalker,11
1565,507,nidev,12
4744,507,jnunemaker,185
4889,507,laserlemon,53
740,507,stve,61
1492,507,sferik,1764
3617,507,FabienChaynes,16
4172,507,ys,8
946,507,pengwynn,100
3749,507,erebor,16
1356,7480,mwilliams,4
2754,7480,kristopher,1
443,7480,madrona,169
3194,7480,evanfarrar,1
574,7480,joshmcarthur,1
3257,7480,ELLIOTTCABLE,1
4109,119789,vicatcu,5
2623,119789,turgu1,5
167,119789,czaraugust,3
2774,119789,ennui2342,11
3763,119789,abderraouf-adjal,2
4824,119789,PhirePhly,2
3776,119789,mrdunk,3
2158,119789,eykamp,3
3941,119789,knolleary,126
4227,119789,tobyjaffey,2
2523,165892,drevicko,7
2457,165892,eriks5,9
4545,165892,michaelhelmick,265
3209,165892,Hasimir,9
1519,165892,philgyford,16
1176,165892,ryanmcgrath,22
1365,165892,randalldegges-okta-2,7
4796,165892,hades,8
4193,165892,cash,11
1426,165892,clayadavis,8
1175,204547,mirai-computing,2
396,204547,msparks,44
1712,204547,atsampson,1
1349,225463,mohs,30
1041,225463,maartenvg,37
1088,225463,benjlcox,34
1515,225463,jtgrenz,29
4924,225463,mllemango,34
3937,225463,mikee649,60
589,225463,paulomarg,102
4333,225463,kevinhughes27,30
3788,225463,dependabot[bot],51
375,225463,alexaitken,54
2830,301134,kruton,1
4339,301134,cyanogen,3
1183,301134,xyang,1
854,391092,hugojosefson,6
2792,391092,rfc1459,8
3153,391092,jameswald,4
3817,391092,mosabua,244
1896,391092,secondsun,7
3576,391092,nicstrong,4
352,391092,zsoltii,7
3819,391092,mdumrauf,7
1928,391092,Shusshu,76
4572,391092,tprochazka,8
1488,417862,sferik,251
1698,417862,catsby,151
1086,417862,zqzas,22
4583,417862,tarebyte,337
2422,417862,LizzHale,37
4043,417862,pengwynn,897
625,417862,glow-mdsol,24
259,417862,gjtorikian,97
1802,417862,joeyw,312
4800,417862,hmharvey,61
1006,451995,ac001,28
2393,451995,nick125,36
635,457931,wellsie1116,1
4347,457931,StefanBossbaly,1
319,457931,laalto,2
3052,457931,adamcohenrose,4
425,457931,jgilfelt,59
1469,457931,westonplatter,2
3780,560495,renovate[bot],60
2475,560495,rafalwrzeszcz,17
4665,560495,hegemonic,1306
1831,560495,matthewkastor,13
640,560495,renovate-bot,278
4715,560495,jannon,52
4752,560495,tschaub,8
930,560495,benblank,16
4032,560495,micmath,339
4880,560495,mathematicalcoffee,87
3806,665357,intrications,16
395,665357,eisbehr,12
3845,665357,ginatrapani,259
2281,665357,hrayr-artunyan,9
2928,665357,rynoon,10
1059,665357,dae3,8
559,665357,karbassi,9
4069,665357,mpcjanssen,34
4000,665357,tormodh,27
4883,665357,chuckbjones,34
1505,687316,Cathedrow,8
4001,704337,stephenlb,642
4553,704337,pasky,18
3879,704337,parfeon,12
3545,704337,fmaxx,26
3308,704337,crimsonred,44
356,704337,rxbynerd,10
3647,704337,zacwitte,19
3532,704337,tanaji-kadam,21
4912,704337,Arro,101
608,704337,budgetpreneur,42
4150,812393,marshall-lee,20
2,812393,dnesteryuk,36
1158,812393,myxoh,55
693,812393,mbleigh,24
3812,812393,ericproulx,39
909,812393,dblock,1107
4829,812393,dm1try,50
3016,812393,adamgotterer,18
3951,812393,namusyaka,66
1152,812393,towanda,22
4396,818509,ttrefren,5
2953,818509,patedit,302
2343,818509,jbwyme,19
1626,818509,aecast,85
1096,818509,argenisf,5
2527,818509,imcleary,5
985,818509,joeatwork,9
799,818509,yinfeiru,18
2286,818509,zihejia,112
2317,818509,ryanseams,9
3099,841412,conceptdev,81
2945,841412,pjcollins,270
1501,841412,JohnPilczak,148
1155,841412,gonzalonm,38
1248,841412,mikebluestein,33
215,841412,jpobst,60
4628,841412,jonpryor,103
848,841412,shana,36
699,841412,topgenorth,195
1614,841412,olegoid,43
3891,866826,wangying1015,20
3063,866826,kruton,26
1433,866826,yabinc,61
4373,866826,tdmcyngn,29
4514,866826,DanAlbert,105
2619,866826,PaulLawrenceGoogle,23
3834,866826,nickkral,55
1730,866826,narayank,36
445,866826,enh-google,289
3668,866826,samitolvanen,51
1296,890442,nicolaskruchten,25
4349,952439,vsejpal,3
4650,952439,aosyborg,2
1003,952439,hliss,14
373,952439,prasadkarkera,1
4826,952439,bollenberger,6
3534,952439,tariqislam,29
1762,952439,estesp,1
1070,964353,rsmoz,8
223,964353,ladyada,5
4557,964353,TheKitty,2
404,964353,per1234,1
2306,1036718,monken,570
2223,1036718,jberger,40
4454,1036718,andreeap,31
1508,1036718,mohawk2,37
1206,1036718,haarg,126
3285,1036718,oalders,923
4574,1036718,mickeyn,478
3892,1036718,ssoriche,48
4079,1036718,rwstauner,336
2166,1036718,ranguard,143
4989,1075959,digitalmoksha,3
4542,1075959,dwkns,4
2992,1075959,amro,371
1497,1075959,fsluis,8
1271,1075959,mberlanda,4
3837,1075959,skalnik,4
4626,1075959,kirs,8
2765,1075959,scottwater,7
270,1075959,gloaec,3
3032,1075959,krsmurata,3
2568,1341845,LeoYan,2
128,1341845,xeecos,23
2049,1341845,danielfsc,20
1841,1341845,heqichen,172
817,1341845,LDGNeto,2
2068,1341845,taweili,281
2836,1341845,karlTH,155
4378,1341845,joselorente,8
1346,1341845,TonyCallear,104
2052,1341845,haobug,2
4120,1381520,tigoe,30
1699,1381520,mlafauci,90
1343,1381520,mbanzi,2
3237,1381520,Fede85,5
1838,1381520,damellis,1
3435,1381520,OfficineArduino,1
4520,1381520,shfitz,1
2210,1381520,metodo2,1
802,1406441,chrisn,2
258,1406441,chrislo,1
1269,1406441,seanohalpin,4
2256,1466737,rutvijkumarshah,1
2323,1466737,loopj,17
2813,1466737,aisipos,1
1048,1527472,angelini,1
4686,1527472,bdougherty,10
4519,1527472,hypernumbers,1
3414,1527472,ryanhefner,7
4035,1612028,shmick,10
1341,1612028,CapnBry,1706
4748,1612028,dwright134,2
2983,1612028,ericthomas,4
4284,1636129,DMarby,89
274,1636129,SteveMcGrath,419
3938,1636129,nijikokun,102
1462,1636129,lukegb,2
2611,1636129,cjc343,3
4492,1636129,CaptainYarb,2
1071,1636129,resba,1
183,1697649,qistoph,4
2896,1697649,retsifp,3
1900,1733272,my-slab,15
1612,1733272,dziegler,8
1883,1733272,aidanlister,8
4602,1733272,tavva,4
3490,1733272,ash211,3
3386,1733272,jeunito,9
2125,1733272,finiteloop,11
3818,1733272,martey,346
8,1733272,subssn21,18
2464,1733272,jeffreychan637,7
466,1810897,rwdownearth,17
4,1810897,trevormarshall,1
