,Repo,Contributor,Contributions
9751,165,schacon,1
1830,165,dragon-dave,1
10977,165,hiroshi,1
1875,165,ccss-sandia,1
6486,165,sr,117
5131,165,rtomayko,1
12183,16001,reentim,1
1219,16001,mislav,394
5607,16001,bastilian,1
5406,16001,alerque,1
12994,16001,tclh123,1
729,16001,rtomayko,1
7653,16001,shime,1
764,19205,spearce,1222
13863,19205,torvalds,139
8850,19205,iabervon,132
14059,19205,gitster,1159
2808,19205,VanTudor,439
13380,19205,peff,200
13467,19205,dscho,542
3359,19205,jnareb,338
7201,19205,paulusmack,224
765,19205,tronical,250
4652,25306,charlesorourke,2
3749,25306,dlundqvist,10
2453,25306,heipei,58
13306,25306,ArjenL,2
3353,25306,ciaran,38
8496,25306,clj,3
7434,25306,d0k,12
948,25306,nriley,6
6630,25306,jdtsmith,4
9923,25306,pieter,534
3782,29479,kiere,1
4897,29479,ramon,1
3689,29479,gfairbrother,1
9871,29479,isaackearse,5
8511,29479,mbailey,466
5982,29479,captainpete,3
766,29479,jorahood,1
3312,29479,jasherai,2
13749,29479,thewoolleyman,5
7155,29479,robc,2
6276,30177,korishev,1
4497,30177,brantb,1
10338,30177,ddollar,88
8593,30177,ereslibre,1
3409,30177,davejamesmiller,1
13926,30177,pvdb,2
6341,30177,e-nomem,1
9072,35995,rtomayko,1
6822,35995,rmg,1
10774,35995,maxrabin,1
3877,35995,peff,1
2259,35995,schacon,34
6102,35995,csware,4
10694,35995,matthewmccullough,3
2653,35995,carlosmn,2
8967,35995,bearded,1
98,35995,davvid,1
530,46448,dentarg,6
7121,46448,dohzya,7
13764,46448,drewr,7
3057,46448,snaewe,2
2977,46448,aripollak,1
8404,46448,jwiegley,129
4674,46448,javabrett,9
12352,46448,Dieterbe,23
1342,46448,pik4ez,2
7538,46448,bill-auger,33
1827,114508,bashz,1
7512,114508,petersanchez,1
13521,114508,jcarbaugh,175
6960,114508,k-anon,3
358,114508,robhudson,16
7038,114508,gtaylor,1
9765,114508,vkurup,1
10899,114508,jamesturk,2
6703,114508,richleland,8
7837,114508,radicalbiscuit,1
298,135376,roidrage,3
6170,135376,tomfotherby,1
3488,135376,jweiss,44
14038,135376,vongrippen,1
8325,170094,fvalverd,6
13156,170094,markgandolfo,2
4732,173496,gebi,2
5631,173496,bpkroth,1
3642,173496,httpdss,149
12042,173496,bernd,1
4527,173496,neverpanic,1
7969,173496,dguerri,2
4943,173496,pixie79,2
13704,173496,insom,3
1760,173496,ewindisch,2
9466,173496,rocketraman,2
5204,179075,schacon,3
6597,188029,indygreg,10
8700,188029,abderrahim,73
396,188029,bcully,12
4052,188029,sunshowers,240
3770,188029,defunkt,9
8220,188029,seanfarley,43
1974,188029,davidmc24,93
3891,188029,durin42,227
9790,188029,schacon,112
403,188029,rctay,24
13447,212873,philogb,422
1453,212873,GrAndSE,3
3819,212873,tqc,3
13240,212873,pflouret,24
4967,212873,diofeher,5
862,212873,clementdenis,3
5202,212873,beizhang,4
11911,212873,bmesuere,2
1334,212873,shex,7
10751,212873,samcrang,3
8316,229790,nulltoken,600
12192,229790,andymancooper,17
7244,229790,slluis,10
7589,229790,mausch,30
4463,229790,dvdvorle,29
12944,229790,gilran,55
9731,229790,henon,405
11052,229790,HackerBaloo,29
6591,229790,stschake,152
6022,229790,ammachado,181
7914,305403,jezdez,1
849,305403,ulf,2
5997,305403,selwin,4
2669,305403,ericholscher,113
3413,305403,whit,1
11032,327877,pellegrino,6
9478,327877,thomasritz,4
5528,327877,queso,5
3798,327877,trooster,4
6599,327877,bbcoimbra,7
7886,327877,jtadeulopes,6
6899,327877,youngbrioche,4
11551,327877,svoop,12
13950,327877,dcrec1,181
796,327877,brunograsselli,3
13011,341626,fhemberger,93
1639,341626,yous,3
3902,341626,vyper,3
1959,341626,rslifka,5
9313,341626,parkr,64
11667,341626,gisikw,5
10988,341626,zlu,4
12015,341626,pilif,6
1359,341626,imathis,497
12190,341626,Darkhogg,3
10193,357727,trek,2
9380,357727,dometto,46
6369,357727,workmad3,1
11045,357727,schacon,21
