,Repo,Contributor,Contributions
98,22826,jordimassaguerpla,1
737,22826,bokor,2
791,22826,marcandre,1
572,22826,orenhe,1
832,22826,technoweenie,11
65,22826,pelargir,2
247,22826,aercolino,5
433,22826,marcel,76
1057,22826,rafbm,1
1080,22826,nbibler,1
424,229741,aboisvert,3
550,229741,dominicm,4
501,229741,trbryan,39
399,229741,euge,3
633,229741,AE9RB,2
5,229741,tve,5
248,229741,richmeyers,8
32,229741,jakedouglas,2
972,229741,sergeyenin,3
38,229741,ktheory,6
680,939532,rjrodger,2
761,939532,scoates,4
674,939532,camerondgray,2
1064,939532,mirkokiefer,103
241,939532,pib,9
723,939532,bkw,3
571,939532,willwhite,4
18,939532,dvalentiate,2
326,939532,ianshward,17
144,939532,vogonistic,2
192,946996,skyzyx,44
686,946996,awstools,2
372,946996,jeremeamia,22
640,946996,d9magai,1
134,946996,borlak,1
685,946996,mtdowling,1
873,2888906,jmena,1
830,2888906,lalyos,1
753,2888906,tekul,1
39,2888906,after-the-sunrise,1
337,2888906,nebhale,74
246,2888906,brianhenk,1
782,2888906,spring-builds,6
336,2916712,ankon,3
612,2916712,suzuken,3
932,2916712,rmuir,22
728,2916712,rollick,4
946,2916712,imotov,8
929,2916712,tlrx,17
991,2916712,brutasse,3
121,2916712,wikka,3
841,2916712,kimchy,51
967,2916712,dadoonet,90
859,3880406,chilts,35
298,3880406,Standard8,7
979,3880406,spitimage,2
452,3880406,lloyd,355
473,3880406,jrgm,16
792,3880406,nnam,6
759,3880406,jedp,4
660,3880406,zaach,3
839,3880406,rfk,2
544,3880406,seanmonstar,2
35,4695433,ai81,1
14,4695433,colinbjohnson,131
538,4695433,nathanblogs,2
733,4695433,mingliangfeng,1
116,4695433,vszakats,5
151,4695433,anujbiyani,1
650,4695433,davestern,4
542,4695433,awilliams,1
989,4695433,aearly,1
464,4695433,marius-cotofana-hs,2
1037,5463553,samth,1
914,5463553,racket-dep-fixer,1
492,5463553,nxg,1
809,5463553,greghendershott,14
596,5463553,mflatt,5
817,5463553,pmatos,1
679,5463553,m4burns,9
494,5463553,bbonf,1
0,5463553,krrrcks,2
1031,5466914,brharrington,32
670,5466914,wstrucke,9
68,5466914,rspieldenner,3
874,5466914,e-gineer,3
410,5466914,copperlight,13
834,5466914,coryb,305
721,5466914,challahc,2
829,5466914,quidryan,18
484,5466914,alde,3
527,5466914,richo,3
1027,7137821,PatMyron,26
1019,7137821,jeanphix,17
346,7137821,fungusakafungus,18
488,7137821,markpeek,1539
1088,7137821,mbrossard,21
375,7137821,michael-k,35
743,7137821,axelpavageau,68
588,7137821,jerry153fish,15
614,7137821,axelpavageauekino,49
623,7137821,phobologic,144
981,8189133,jeskew,10
969,8189133,chuck014,5
270,8189133,diehlaws,5
750,8189133,GrahamCampbell,3
517,8189133,SamRemis,3
516,8189133,jeremeamia,46
647,8189133,tomschlick,5
197,8189133,ajredniwja,2
262,8189133,howardlopez,20
87,8189133,aykutfarsak,2
752,8270619,githuesch,116
389,8270619,mikegreiling,4
537,8270619,pdebie-amazon,19
848,8270619,jbraeuer,117
199,8270619,ganeadin,7
586,8270619,workeitel,103
675,8270619,jarv-aws,41
531,8270619,awsthomas,16
261,8270619,frisco-joe,11
342,8270619,wbingli,6
687,10678993,freedaun,2
407,10678993,mdbs99,124
450,10678993,almp1,14
155,12742730,zhangzhx,2
70,12742730,SonnyRajagopalan,1
771,12742730,hyandell,2
824,12742730,afitzgibbon,2
965,14991049,x4v13r64,35
885,14991049,technion,2
373,14991049,l01cd3v,1107
866,14991049,sharmaansh21,1
477,14991049,rwinkelmaier-ncc,2
196,14991049,agrant-isec,2
498,14991049,franco-bb,4
646,14991049,blt04,1
668,14991049,joncave,2
85,14991049,bhollemb,2
177,19718034,chenwany,170
899,19718034,sean-smith,246
330,19718034,enrico-usai,539
690,19718034,demartinofra,743
23,19718034,rexcsn,147
1073,19718034,hanwen-pcluste,301
36,19718034,yuleiwan,137
253,19718034,lukeseawalker,409
51,19718034,dougalb,230
6,19718034,ddeidda,131
320,21634100,jamesonwilliams,69
718,21634100,desokroshan,94
210,21634100,awsmobilesdk,268
1061,21634100,TrekSoft,34
801,21634100,minbi,161
1074,21634100,richardmcclellan,40
701,21634100,raphkim,83
127,21634100,kvasukib,84
13,21634100,karthiksaligrama,31
784,21634100,palpatim,27
518,23803367,reubenavery,7
178,23803367,hunner,65
958,23803367,garethr,358
189,23803367,Iristyle,100
3,23803367,bmjen,10
1044,23803367,DavidS,52
673,23803367,transifex-bot,13
170,23803367,cmurphy,20
814,23803367,pjfoley,11
276,23803367,gregohardy,27
405,25823015,spencergibb,41
437,25823015,alainsahli,302
836,25823015,cstettler,65
122,25823015,spring-builds,78
474,25823015,dsyer,69
420,25823015,ryanjbaxter,20
555,25823015,marcingrzejszczak,44
4,25823015,maciejwalkowiak,135
672,25823015,aemruli,769
479,25823015,eddumelendez,64
129,26508581,TheDeveloper,2
795,26508581,suryanarayanan,5
487,26508581,Jmcfar,9
796,26508581,default50,13
277,26508581,afitzgibbon,3
653,26508581,maymount,5
136,26508581,geisbruch,3
843,26508581,yubangxi,10
224,26508581,feverLu,8
621,26508581,alexdglover,4
355,28494054,satterly,1
365,28643625,lanej,251
921,28643625,mikehale,38
594,28643625,KevinLoiseau,37
933,28643625,sue445,37
617,28643625,stanhu,17
421,28643625,chanakyad-cuelogic,10
471,28643625,plribeiro3000,11
161,28643625,nomadium,12
110,28643625,geemus,324
565,28643625,fcheung,22
815,28942758,noemi-rea,3
391,28942758,rnhurt,8
526,28942758,dushankw,9
425,28942758,mbailey,547
1040,28942758,finchd,1
727,28942758,ninth-dev,12
960,28942758,atward,4
975,28942758,jonhiggs,287
984,28942758,azrupani,1
